Apr  9 04:00:00 VPX-13 newsyslog[72292]: logfile turned over due to size>100K
Apr  9 04:00:00 <local0.info> 192.168.101.5 04/09/2021:04:00:00 GMT VPX-13 0-PPE-0 : default SNMP TRAP_SENT 0 0 :  haPropFailure (nsPartitionName = default)  
Apr  9 04:00:01 <local0.info> 192.168.101.5 04/09/2021:04:00:01 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87302 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:00:02 <local0.info> 192.168.101.5 04/09/2021:04:00:02 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 87303 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:00:02 <local0.info> 192.168.101.5 04/09/2021:04:00:02 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87304 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns partition" - Status "Success" 
Apr  9 04:00:02 <local0.info> 192.168.101.5 04/09/2021:04:00:02 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87305 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns partition" - Status "Success" 
Apr  9 04:00:03 <local0.info> 192.168.101.5 04/09/2021:04:00:03 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87306 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "sftp-server" - Status "Success" 
Apr  9 04:00:05 <local0.info> 192.168.101.5 04/09/2021:04:00:05 GMT VPX-13 0-PPE-1 : default CLI CMD_EXECUTED 75779 0 :  User nsroot - Remote_ip 127.0.0.1 - Command "shell" - Status "Success" 
Apr  9 04:00:05 <local0.info> 192.168.101.5 04/09/2021:04:00:05 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87307 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:09 <local0.info> 192.168.101.5 04/09/2021:04:00:09 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87311 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "diff ns config savedconfig runningconfig" - Status "Success" 
Apr  9 04:00:10 <local0.info> 192.168.101.5 04/09/2021:04:00:10 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87312 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:00:10 <local0.info> 192.168.101.5 04/09/2021:04:00:10 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87313 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "scp -pf '/tmp/DIFF_192.168.101.5_0bf52909-0576-473d-ad64-af1b7d4f541f.xml'" - Status "Success" 
Apr  9 04:00:10 <local0.info> 192.168.101.5 04/09/2021:04:00:10 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87314 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:00:12 <local0.info> 192.168.101.5 04/09/2021:04:00:12 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87315 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show system file weeknumofyear.lua -fileLocation "/var/tmp"" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75787 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ns" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75788 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat system" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75789 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat system memory" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75790 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat system cpu" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 75791 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ssl" - Status "Success" 
Apr  9 04:00:16 <local0.info> 192.168.101.5 04/09/2021:04:00:16 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87316 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat interface" - Status "Success" 
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default SNMP TRAP_SENT 0 0 :  haPropSuccess (nsPartitionName = default)  
Apr  9 04:00:18 <local0.info> 192.168.101.5 04/09/2021:04:00:18 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87318 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "add system file weeknumofyear.lua -fileLocation "/var/tmp/"" - Status "Success" 
